Date Reported,Nature (Classification),Disposition,Date/Time Occurred,General Location
11/23/2024,Minor in Possession of Alcohol,"Citation, 1",11/22/2024 2221,6600 Blk Del Playa Drive
11/23/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/22/2024 2220,6600 Blk Del Playa Drive
11/23/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/22/2024 2220,6600 Blk Del Playa Drive
11/23/2024,Minor in Possession of Alcohol,"Citation, 1",11/22/2024 2240,6600 Blk Del Playa Drive
11/23/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/22/2024 2240,6600 Blk Del Playa Drive
11/23/2024,Minor in Possession of Alcohol,"Citation, 1",11/22/2024 2256,6600 Blk Del Playa Drive
11/23/2024,Smoke Marijuana in Public Obstruct/Resist/Etc Police Officer/Emergency Med Tech,"Arrest, 1",11/22/2024 2234,Del Playa Drive/El Embarcadero
11/23/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/22/2024 2344,6600 Blk Del Playa Drive
11/23/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/22/2024 2344,6600 Blk Del Playa Drive
11/23/2024,Petty Theft,Report Filed,11/21/2024 1458,6500 Blk Del Playa Drive
11/24/2024,Rape,Report Filed,11/23/2024 2345,Campus Housing
11/24/2024,Vandalism,Report Filed,11/1/2024 - 11/24/2024,Boys and Girls Club (Devereux)
11/24/2024,Minor in Possession of Alcohol,"Citation, 1",11/23/2024 0004,6600 Blk Del Playa Drive
11/24/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/23/2024 0025,6600 Blk Del Playa Drive
11/24/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/23/2024 0039,Del Playa Drive/Camino Pescadero
11/24/2024,Noise Ordinance,"Citation, 1",11/23/2024 0113,6000 Blk Sabado Tarde Road
11/24/2024,Obstruct/Resist/Etc Police Officer/Emergency Med Tech,"Arrest, 1",11/23/2024 0047,6500 Blk Del Playa Drive
11/24/2024,Noise Ordinance,"Citation, 1",11/23/2024 0314,6500 Blk Del Playa Drive
11/24/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/23/2024 2244,Picasso Road/ Embarcadero Del Norte
11/24/2024,Public Intoxication,"Arrest, 1",11/23/2024 2245,700 Blk Embarcadero Del Norte
11/24/2024,Minor in Possession of Alcohol False Identification to a Police Officer,"Citation, 1",11/23/2024 2320,Cervantes Road/Embarcadero Del Norte
11/25/2024,Noise Ordinance,"Citation, 1",11/24/2024 0050,6600 Blk Abrego Road
11/25/2024,Public Intoxication,"Arrest, 1",11/24/2024 1452,Embarcadero Del Mar/Pardall Road
11/25/2024,Vandalism,"Arrest, 1",11/24/2024 2119,Madrid Road/Pardall Road
11/25/2024,Petty Theft,Report Filed,11/19/2024 1300 - 11/23/2024 1400,Santa Ynez Apartment Bike Racks
11/25/2024,Vandalism,Report Filed,11/26/2024 0123 - 11/20/2024 1200,Arts Building
11/25/2024,Domestic Battery,"Arrest, 1",11/25/2024 1600 - 1630,Campus Housing
11/26/2024,Burglary,Report Filed,11/25/2024 1042,6500 Blk Trigo Road
11/26/2024,Alcohol Violation (not Public Intoxication),"Citation, 1",11/25/2024 1918,6500 Blk Cordoba Road 900 Blk Embacadero Del Mar
11/26/2024,Motor Vehicle Theft (Electric Bicycle),Report Filed,11/25/2024 1230 - 11/26/2024 0850,Santa Ynez Apartment Bike Racks
11/26/2024,Petty Theft Clery Aggravated Assault,Report Filed,11/10/2024 0004 - 11/22/2024,Manzanita Villages   <-- (Repaired best guess)
11/27/2024,Non-Affiliate Refuse to Leave University Property,"Arrest, 1",11/27/2024 0028,Multicultural Center
11/27/2024,Vandalism,Report Filed,11/27/2024 0930,Student Health
11/27/2024,Clery: Hate Crime - Larceny/Theft - Bias Based on Gender Identity,CSA Report Filed,11/23/2024 Unknown,Campus Housing
11/28/2024,Clery: Burglary,Report Filed,11/28/2024 1313,El Centro
11/28/2024,Clery: Burglary,Report Filed,11/28/2024 1928,El Centro
11/29/2024,Petty Theft Burglary Vandalism,Report Filed,11/28/2024 1500 - 11/29/2024 0900,Humanities and Social Sciences Building
11/30/2024,No Crimes Reported,,,,
11/30/2024,Receiving Stolen Property Possession of Burglary Tools,"Arrest, 1",11/29/2024 1757,6500 Blk Segovia Road
12/1/2024,Public Intoxication,"Arrest, 1",12/1/2024 0231,Camino Corto
12/1/2024,Arson,Report Filed,12/1/2024 1956,Brush Between Santa Ynez Apartments and Santa Catalina Residence Hall
12/2/2024,Driving Under the Influence of Alcohol or Drug Driving Under the Influence with >.08 BAC,"Arrest, 1",11/30/2024 0100,6600 Blk El Colegio Road
12/2/2024,Burglary Possess Weapon on University Property (not a Firearm) Trespassing,"Arrest, 1",12/2/2024 0557,Bren Hall
12/2/2024,Petty Theft Vandalism,Report Filed,11/26/2024 1600 - 12/2/2024 1200,Events Center Bike Racks
12/2/2024,Grand Theft Vandalism,Report Filed,11/23/2024 1300 - 12/2/2024 1700,San Joaquin Villages Bike Racks
12/3/2024,Noise Ordinance,"Citation, 1",12/2/2024 0005,6700 Blk Del Playa Drive
12/3/2024,Vandalism,Report Filed,12/2/2024 0805,6500 Blk Seville Road
12/3/2024,Indecent Exposure Engage in Lewd Conduct,Report Filed,12/2/2024 1033,Camino Majorca/Trigo Road
12/3/2024,Petty Theft,Report Filed,11/19/2024 1630 - 11/19/2024 1640,Music Building Bike Racks
12/3/2024,Petty Theft,Report Filed,12/2/2024 1400 - 12/2/2024 1500,Broida Hall Bike Racks
12/4/2024,Cannabis Cultivation,"Citation, 1",12/3/2024 2039,800 Blk Camino Del Sur
12/4/2024,Motor Vehicle Theft (Electric Bicycle),Report Filed,12/4/2024 0800 - 12/4/2024 1800,Santa Catalina Residence Hall Bike Racks
12/4/2024,Petty Theft,Report Filed,11/29/2024 1000 - 12/3/2024 0000,Storke Family Housing
12/5/2024,Domestic Battery False Imprisonment Prevents any witness or Victim from Giving Testimony,"Arrest, 1",12/4/2024 1743,Isla Vista
12/5/2024,Clery: Dating Violence Clery: Rape,CSA Report Filed,7/16/2023 - 7/20/2023,Noncampus Property
12/6/2024,Petty Theft,Report Filed,12/6/2024 1130 - 12/6/2024 1245,Interactive Learning Pavilion Bike Racks
12/6/2024,Robbery,Report Filed,12/6/2024 1200,Manzanita Villages
12/6/2024,Motor Vehicle Theft (Electric Bicycle) Vandalism,Report Filed,1/25/2024 0900 - 11/25/2024 1200,San Joaquin Villages Bike Racks
12/6/2024,Clery: Stalking,CSA Report Filed,Unknown - 11/26/2024,Campus Property
12/7/2024,Prowling,"Arrest, 1",12/7/2024 0700 - 12/7/2024 0714,San Joaquin Villages
12/7/2024,Threats Against a Public Official Obstruct/Resist/Etc Police Officer/Emergency Med Tech,Report Filed,12/7/2024 1114,Manzanita Villages
12/7/2024,Petty Theft Trespassing,Other Agency Assist,Unknown,6600 Blk Sueno Road
12/7/2024,Possession of Drug Paraphernalia,"Citation, 1",12/5/2024 0517,6600 Blk El Colegio Road
12/8/2024,Driving Under the Influence of Alcohol or Drug Driving Under the Influence with >.08 BAC,"Arrest, 1",12/7/2024 2117,Camino Del Sur/El Colegio Road
